"Student","Question","Answer","Confidence","RealAnswer","Correct"
"1","1","b",2,"b","Yes"
"2","1","b",5,"b","Yes"
"3","1","b",3,"b","Yes"
"4","1","b",3,"b","Yes"
"5","1","a",2,"b","No"
"6","1","b",0,"b","Yes"
"7","1","b",2,"b","Yes"
"8","1","a",2,"b","No"
"9","1","a",0,"b","No"
"10","1","a",2,"b","No"
"11","1","a",1,"b","No"
"12","1","b",1,"b","Yes"
"13","1","b",2,"b","Yes"
"14","1","a",1,"b","No"
"15","1","b",4,"b","Yes"
"16","1","a",5,"b","No"
"17","1","a",3,"b","No"
"18","1","b",5,"b","Yes"
"19","1","b",3,"b","Yes"
"20","1","b",4,"b","Yes"
"1","2","a",3,"b","No"
"2","2","a",3,"b","No"
"3","2","a",3,"b","No"
"4","2","a",4,"b","No"
"5","2","a",4,"b","No"
"6","2","b",3,"b","Yes"
"7","2","b",3,"b","Yes"
"8","2","a",3,"b","No"
"9","2","a",5,"b","No"
"10","2","a",3,"b","No"
"11","2","b",1,"b","Yes"
"12","2","b",2,"b","Yes"
"13","2","b",5,"b","Yes"
"14","2","b",1,"b","Yes"
"15","2","a",5,"b","No"
"16","2","b",2,"b","Yes"
"17","2","a",4,"b","No"
"18","2","a",2,"b","No"
"19","2","a",4,"b","No"
"20","2","a",3,"b","No"
"1","3","a",4,"a","Yes"
"2","3","b",3,"a","No"
"3","3","a",5,"a","Yes"
"4","3","b",2,"a","No"
"5","3","a",5,"a","Yes"
"6","3","a",4,"a","Yes"
"7","3","b",3,"a","No"
"8","3","a",5,"a","Yes"
"9","3","a",2,"a","Yes"
"10","3","a",3,"a","Yes"
"11","3","b",5,"a","No"
"12","3","a",5,"a","Yes"
"13","3","a",5,"a","Yes"
"14","3","a",3,"a","Yes"
"15","3","a",5,"a","Yes"
"16","3","a",3,"a","Yes"
"17","3","a",4,"a","Yes"
"18","3","a",4,"a","Yes"
"19","3","a",5,"a","Yes"
"20","3","a",4,"a","Yes"
"1","4","a",3,"a","Yes"
"2","4","b",3,"a","No"
"3","4","b",4,"a","No"
"4","4","a",4,"a","Yes"
"5","4","a",2,"a","Yes"
"6","4","a",5,"a","Yes"
"7","4","a",3,"a","Yes"
"8","4","a",4,"a","Yes"
"9","4","b",0,"a","No"
"10","4","a",3,"a","Yes"
"11","4","a",2,"a","Yes"
"12","4","b",4,"a","No"
"13","4","a",5,"a","Yes"
"14","4","a",5,"a","Yes"
"15","4","a",5,"a","Yes"
"16","4","b",3,"a","No"
"17","4","b",4,"a","No"
"18","4","b",4,"a","No"
"19","4","b",5,"a","No"
"20","4","b",3,"a","No"
"1","5","b",1,"b","Yes"
"2","5","a",3,"b","No"
"3","5","a",3,"b","No"
"4","5","a",0,"b","No"
"5","5","b",3,"b","Yes"
"6","5","a",1,"b","No"
"7","5","a",1,"b","No"
"8","5","a",3,"b","No"
"9","5","b",0,"b","Yes"
"10","5","a",2,"b","No"
"11","5","b",3,"b","Yes"
"12","5","b",1,"b","Yes"
"13","5","b",3,"b","Yes"
"14","5","a",3,"b","No"
"15","5","a",5,"b","No"
"16","5","a",2,"b","No"
"17","5","a",4,"b","No"
"18","5","a",2,"b","No"
"19","5","b",3,"b","Yes"
"20","5","a",4,"b","No"
